Time [h],OD600
0,0
0.25,0.001
0.5,0.001
0.75,0.001
1,0.001
1.25,0.001
1.5,0.001
1.75,0.001
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0.001
3.75,0.001
4,0.001
4.25,0.001
4.5,0.001
4.75,0.002
5,0.002
5.25,0.003
5.5,0.003
5.75,0.004
6,0.005
6.25,0.006
6.5,0.007
6.75,0.008
7,0.01
7.25,0.012
7.5,0.013
7.75,0.015
8,0.017
8.25,0.019
8.5,0.021
8.75,0.023
9,0.025
9.25,0.027
9.5,0.029
9.75,0.031
10,0.034
10.25,0.036
10.5,0.039
10.75,0.042
11,0.045
11.25,0.048
11.5,0.051
11.75,0.053
12,0.056
12.25,0.057
12.5,0.059
12.75,0.061
13,0.064
13.25,0.068
13.5,0.08
13.75,0.086
14,0.099
14.25,0.105
14.5,0.122
14.75,0.139
15,0.145
15.25,0.154
15.5,0.169
15.75,0.183
16,0.19
16.25,0.196
16.5,0.206
16.75,0.213
17,0.219
17.25,0.226
17.5,0.229
17.75,0.237
18,0.241
18.25,0.244
18.5,0.247
18.75,0.248
19,0.252
19.25,0.253
19.5,0.254
19.75,0.257
20,0.262
20.25,0.265
20.5,0.271
20.75,0.27
21,0.279
21.25,0.252
21.5,0.252
21.75,0.255
22,0.247
22.25,0.226
22.5,0.217
22.75,0.223
23,0.229
23.25,0.232
23.5,0.236
23.75,0.239
24,0.246